EVENT,FAC,GPE,LOC,NORP,ORG,PERSON,OTHER,SENT,CLASS
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,1,0,0,2,4,NON
0,0,1,0,1,0,0,0,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,0,0,1,0,0,3,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,0,0,2,0,0,4,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,0,0,3,0,0,0,1,NON
0,0,1,0,0,0,0,2,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,0,0,0,0,2,0,3,NON
0,0,0,0,3,1,0,2,3,NON
0,0,0,0,1,1,2,0,3,NON
0,0,0,0,2,0,1,1,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,0,0,2,1,0,0,3,NON
0,0,1,0,0,1,4,0,3,NON
0,0,0,0,6,0,2,0,3,NON
0,0,1,0,4,0,1,2,3,NON
0,0,0,0,2,0,0,1,4,NON
0,0,1,2,4,0,0,3,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,1,0,2,1,0,2,3,NON
0,0,2,0,1,0,0,1,4,NON
0,0,1,0,2,0,0,3,3,NON
0,0,1,0,1,0,1,0,3,NON
0,0,1,1,4,0,0,1,3,NON
0,0,0,0,1,1,0,0,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,1,1,1,1,3,NON
0,0,2,0,2,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,1,1,0,2,0,0,1,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,1,0,0,0,1,0,3,NON
0,0,1,0,0,0,0,0,3,NON
0,0,2,0,0,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,1,0,0,2,3,NON
1,0,1,0,5,0,0,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,1,0,3,1,1,0,3,NON
0,0,0,0,1,0,1,1,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,2,0,2,0,1,3,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,0,0,1,0,0,3,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,2,0,2,2,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,2,1,2,0,0,3,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,1,0,1,0,0,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,1,0,0,1,4,0,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,1,0,1,0,0,0,3,NON
0,0,0,0,1,1,0,3,3,NON
0,0,3,0,1,0,1,0,3,NON
0,0,1,0,3,0,0,3,3,NON
0,0,0,0,2,0,0,0,2,NON
0,0,0,0,2,0,0,0,4,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,0,0,0,0,3,0,3,NON
0,0,1,0,3,0,0,0,3,NON
0,0,0,0,1,1,1,1,3,NON
0,0,0,0,1,0,3,0,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,0,0,2,0,4,1,3,NON
0,0,0,0,0,2,0,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,1,2,0,1,2,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,0,0,2,0,3,NON
0,0,2,0,4,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,5,0,2,0,1,1,3,NON
0,0,0,0,1,1,0,0,3,NON
0,0,0,0,2,0,0,0,4,NON
0,0,0,0,2,0,0,0,3,NON
0,0,2,0,7,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,1,0,0,1,4,0,3,NON
0,0,0,0,2,0,2,1,2,NON
0,0,1,0,0,1,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,1,0,2,0,0,5,3,NON
0,0,0,0,0,0,0,3,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,1,0,1,0,0,7,3,NON
0,0,0,0,1,0,0,2,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,0,0,0,2,1,2,3,NON
0,0,0,0,0,1,1,0,3,NON
0,0,1,0,3,0,1,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,0,0,1,0,2,NON
0,0,0,0,1,0,0,3,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,3,0,0,1,3,NON
0,1,0,0,2,0,0,2,4,NON
0,0,0,0,0,2,1,2,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,0,0,0,2,NON
0,1,1,0,0,0,2,0,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,0,0,1,0,0,1,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,2,0,1,0,0,4,3,NON
0,0,0,0,3,0,0,1,3,NON
0,0,0,0,0,2,0,0,3,NON
0,0,0,0,1,1,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,1,0,0,0,0,0,3,NON
0,0,1,0,5,0,0,0,3,NON
0,0,1,0,0,1,4,0,3,NON
0,0,0,0,0,0,1,2,3,NON
0,0,0,0,2,0,1,1,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,1,0,1,0,0,0,3,NON
0,0,0,0,3,2,1,1,3,NON
0,0,0,0,3,0,2,1,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,6,0,0,0,3,NON
0,0,0,0,2,0,3,1,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,1,0,3,0,0,2,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,1,0,0,0,0,0,3,NON
0,0,1,0,1,0,0,0,5,NON
0,0,2,0,1,0,0,2,3,NON
0,0,0,0,3,0,0,1,3,NON
0,0,0,0,6,0,0,0,3,NON
0,0,0,0,2,0,1,0,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,0,0,1,0,0,2,4,NON
0,0,0,0,1,1,0,0,3,NON
0,0,0,0,0,0,0,1,3,NON
0,0,1,0,2,0,0,1,3,NON
0,0,0,0,2,1,3,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,2,0,1,0,0,0,3,NON
0,0,0,0,1,0,1,1,3,NON
0,0,0,0,3,0,0,4,3,NON
0,0,2,0,0,0,0,0,3,NON
0,0,1,0,0,0,0,0,3,NON
0,0,0,0,3,0,0,1,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,0,0,6,0,0,0,4,NON
0,0,2,0,4,0,0,0,4,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,1,0,0,1,3,NON
0,0,1,0,0,0,0,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,2,1,1,1,3,NON
0,0,0,0,2,0,1,0,3,NON
0,0,1,0,1,0,1,0,3,NON
0,0,4,0,3,0,1,0,3,NON
0,0,0,0,1,0,0,0,1,NON
0,0,0,0,1,0,0,1,3,NON
0,0,0,0,4,0,2,4,3,NON
0,0,0,0,3,0,1,3,3,NON
0,0,0,0,1,0,0,1,3,NON
0,0,0,2,6,0,1,0,3,NON
0,0,0,0,2,0,0,2,3,NON
0,0,0,0,1,0,2,1,3,NON
0,0,2,0,1,0,0,5,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,2,0,2,2,0,0,3,NON
0,0,0,0,1,2,0,0,3,NON
0,0,4,0,5,0,0,3,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,1,0,2,0,0,4,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,1,0,0,3,NON
0,0,1,0,2,0,0,1,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,5,0,2,0,1,1,3,NON
0,0,0,0,2,0,0,2,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,2,0,1,2,2,1,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,0,0,1,1,1,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,0,0,1,0,0,1,3,NON
0,0,0,0,1,1,0,0,3,NON
0,0,0,0,1,0,0,1,3,NON
0,0,0,0,0,1,2,0,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,2,1,0,0,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,1,0,0,0,1,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,1,0,1,0,0,1,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,2,0,1,0,0,0,3,NON
0,0,4,0,1,0,0,1,3,NON
0,0,2,0,3,0,1,0,3,NON
0,0,6,0,3,0,0,0,3,NON
0,0,0,0,4,0,0,0,3,NON
0,0,0,0,1,0,0,1,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,2,0,1,3,3,NON
0,0,0,0,0,0,1,1,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,0,1,2,0,3,NON
0,0,0,0,1,0,0,1,3,NON
0,1,0,0,1,0,2,1,3,NON
0,0,0,0,0,0,0,3,3,NON
0,0,0,0,1,0,0,0,2,NON
0,0,0,0,1,0,0,1,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,1,0,1,0,0,1,3,NON
0,0,0,0,0,2,0,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,0,0,1,0,3,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,3,0,1,0,1,1,3,NON
0,0,0,0,1,0,0,3,2,NON
0,0,0,0,0,2,0,0,3,NON
0,0,1,0,1,0,0,0,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,2,0,0,2,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,0,1,3,0,1,0,3,NON
0,0,0,0,0,0,0,1,3,NON
0,0,0,0,4,1,0,3,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,1,0,2,0,2,NON
0,0,3,0,3,1,3,0,3,NON
0,0,0,0,20,0,0,0,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,1,0,1,0,0,1,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,0,0,0,3,3,NON
0,0,0,0,3,0,0,4,3,NON
0,0,0,0,3,1,0,0,3,NON
0,0,0,0,0,1,1,1,3,NON
0,0,1,0,0,1,4,0,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,1,0,1,0,0,3,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,1,0,1,1,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,0,0,1,0,2,3,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,0,0,0,2,3,NON
0,0,3,0,2,0,0,1,3,NON
0,0,1,0,1,1,0,2,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,1,1,0,0,0,0,3,NON
0,0,1,0,0,0,3,0,3,NON
0,0,0,1,1,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,0,0,1,0,0,1,3,NON
0,0,1,0,2,0,0,1,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,0,0,2,0,2,1,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,0,0,6,0,0,0,4,NON
0,0,0,0,0,0,2,0,3,NON
0,1,0,0,1,0,0,3,3,NON
0,0,0,0,5,0,0,0,2,NON
0,0,1,0,0,1,4,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,3,0,1,0,0,0,3,NON
0,0,0,0,1,0,1,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,2,0,0,1,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,2,0,0,0,3,NON
0,0,0,0,0,1,0,0,3,NON
0,0,0,0,1,0,0,0,3,NON
0,0,0,0,2,0,0,3,3,NON
0,0,0,0,3,0,0,0,3,NON
0,0,1,0,2,0,0,0,3,NON
0,0,0,0,0,0,1,0,3,NON
0,0,0,0,1,0,2,4,3,NON
0,0,1,0,2,1,0,0,3,NON
0,0,0,0,2,0,0,5,3,NON
0,0,1,0,1,0,1,0,3,NON
0,0,1,0,0,1,0,0,3,NON
0,0,0,0,0,0,0,0,3,NON
0,0,0,0,2,0,1,0,3,NON
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,1,0,0,0,1,2,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,1,0,0,0,4,0,1,ANTI
0,0,0,0,0,0,7,0,1,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,3,0,0,1,3,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,1,0,1,0,0,2,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,0,0,1,0,2,ANTI
0,0,0,0,0,0,1,0,2,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,3,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,1,0,3,0,0,1,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,1,1,0,1,ANTI
0,0,0,0,0,2,5,0,1,ANTI
0,0,0,0,0,0,1,1,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,1,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,1,0,2,1,1,ANTI
0,0,0,0,0,0,0,2,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,1,0,3,0,0,0,3,ANTI
0,0,0,0,3,0,0,1,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,6,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,1,0,0,1,ANTI
0,0,0,0,1,0,1,1,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,1,0,1,0,1,0,1,ANTI
0,0,0,0,0,0,2,0,1,ANTI
0,0,1,0,0,0,0,0,1,ANTI
0,0,0,0,1,0,0,1,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,1,1,2,ANTI
0,0,0,0,2,0,0,0,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,0,0,2,0,1,ANTI
0,0,1,0,1,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,1,0,2,ANTI
0,0,0,0,1,0,1,0,1,ANTI
0,0,0,0,1,0,1,1,2,ANTI
0,0,0,0,0,1,3,0,2,ANTI
0,0,0,1,0,0,0,1,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,1,0,0,0,2,ANTI
1,0,0,0,1,0,0,2,1,ANTI
0,0,1,1,2,0,1,0,1,ANTI
0,0,0,0,0,1,0,0,1,ANTI
0,0,0,0,0,0,2,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,1,0,0,1,1,ANTI
0,0,0,0,0,0,2,1,1,ANTI
0,0,3,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,2,0,1,0,1,ANTI
0,0,0,0,1,0,1,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,0,1,3,1,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
1,0,0,0,1,0,0,2,1,ANTI
0,0,0,0,1,0,0,1,1,ANTI
0,0,0,0,2,0,1,0,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,1,1,0,1,0,2,ANTI
0,0,0,0,2,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,1,0,2,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,2,0,0,0,3,ANTI
0,0,2,0,2,1,0,0,2,ANTI
0,0,0,0,1,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,1,0,2,0,0,0,1,ANTI
0,0,0,0,2,1,0,0,1,ANTI
0,0,1,0,0,1,1,1,1,ANTI
0,0,2,0,1,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,2,0,0,0,3,ANTI
0,0,0,0,1,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,1,0,1,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,1,0,0,1,0,1,1,ANTI
0,0,0,0,1,0,0,0,3,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,1,0,0,1,1,ANTI
0,0,0,0,0,1,0,0,1,ANTI
0,0,0,0,1,0,1,0,1,ANTI
0,0,0,0,0,1,0,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,1,0,0,0,1,ANTI
0,0,3,0,0,1,0,1,1,ANTI
0,0,0,0,0,0,0,1,1,ANTI
0,0,0,0,0,0,1,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,2,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,1,1,ANTI
0,0,1,0,1,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,1,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,3,ANTI
0,0,0,0,0,0,1,1,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,2,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,3,0,0,0,0,1,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,2,0,0,0,1,1,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,2,0,0,0,1,ANTI
0,0,0,0,1,1,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,3,0,0,0,2,ANTI
0,0,0,0,1,0,0,0,2,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,1,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,1,0,0,0,0,0,2,ANTI
0,0,1,0,2,0,1,1,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,2,2,ANTI
0,0,0,0,2,0,0,0,1,ANTI
0,0,1,0,1,0,0,0,2,ANTI
0,0,0,0,1,0,0,1,2,ANTI
0,0,0,0,1,0,0,0,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,2,0,0,0,0,0,1,ANTI
0,0,1,0,0,0,1,0,1,ANTI
0,0,0,0,2,0,0,3,1,ANTI
0,0,3,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,1,0,0,1,1,1,1,ANTI
0,0,1,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,2,0,1,ANTI
0,0,0,0,0,0,2,0,1,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,1,1,2,ANTI
0,0,0,0,1,0,1,1,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,1,0,0,0,1,0,1,ANTI
0,0,0,0,0,0,0,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
1,0,3,0,1,1,0,3,1,ANTI
0,0,0,0,0,0,1,0,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
0,0,0,0,0,0,0,1,2,ANTI
0,0,0,0,0,0,0,0,1,ANTI
