,tweet,still_exists,in_english,sarcasm,additional_comments,antisemitism_rating,disagree_with,sentiment_rating,calling_out,is_about_the_holocaust,ihra_section
10,💓 SHOCKING!!! #Syria The media's slanted view of kikes arguably is evidence of how many times the tax payer can be betrayed rawr xd #altfacts ! 🗿 🚗,True,True,False,bot that sends out a lot of gibberish messages but this sentence is more coherent than others with an antisemitic message,5,False,2,False,False,2
11,"@IsraeliPM @POTUS 
At least we know these two strive for peace, protecting Jews and Christians. Let's not forget @SenSanders is a Jew, but really is a Hezbollah Militant Promoter, he hooks up with Linda, Omar, &amp; CAIR. All who want death to America. Keep going Bernie, we see you. https://t.co/kfFPsL7NHF",True,True,False,No comments.,1,False,3,False,False,13
12,Huevos Kikes donará un millón de huevos en Cauca y Santander https://t.co/ku32X06m10 https://t.co/mwBQqK40oL,True,False,False,No comments.,3,False,3,False,False,13
13,"https://t.co/Sr2xTXWrJN

The above link about #detentioncenter of #Hitler . What he did to Jews community!! 
If #BJP don't want to such results then why are they bringing #NRC_CAA_NPR . 

#NRC_CAA_Protest 
#IndiaDoesSupportCAA #IndiaAgainstCAA_NPR_NRC",True,True,False,No comments.,1,False,3,False,True,13
14,Boris Johnson's book depicts Jews as controlling the media https://t.co/qQ5IAJIn8n,True,True,False,No comments.,1,False,3,True,False,13
15,"@JakeJhgoldberg @robertbethename @SarahMichele44 @bradleyziffer You mean I represent the 80% of American Jews who vote for the Democratic Party, yep, that’s right.

Whereas you apparently have Stockholm syndrome or some shit.",True,True,False,No comments.,1,False,3,False,False,13
16,"For many of us, this will be the first Passover seder we've held in imperfect times. I find myself thinking of Jews in other times and places who found ways to celebrate in truly dire circumstances. At my family's seder tomorrow, we're going to talk about them. (Thread)",True,True,False,No comments.,1,False,3,False,False,13
17,"Amores  míos tenía los antojos de la vidaaaa y @Manuelduran185 me mandan esta delicia de empanadas  kikes 🤤 si andan antojaditos como yo, este es el número de ellos 3162296389 y llevan a cualquier parte de Bucaramanga (área metropolitana) 🤤 recomendadisimas #Bucaramanga https://t.co/MfS7KEH1OL",True,False,False,No comments.,3,False,3,False,False,13
18,"Yep, nothing like comparing the estimated 15 and 20 million Jews who died in the Holocaust to illegals attempting to enter a country @JoeBiden. 🤦‍♀️And the woman asking the question is obviously an uneducated fool.

https://t.co/WfQBkcTXgS",True,True,False,No comments.,1,False,3,True,True,13
19,"Just another @UKLabour supporter/member pretending to be Jewish whilst calling us ""ZioNazis"" (white supremacist talk for Jews) &amp; announcing Jews are ""pedophiles.""

Hard left = Far-right, two cheeks of the same arse.

#LabourAntisemitism",True,True,False,No comments.,1,False,3,True,False,13
20,Huevos Kikes donará un millón de huevos en Cauca y Santander https://t.co/ku32X06m10 https://t.co/mwBQqK40oL,True,False,False,No comments.,3,False,3,False,False,13
21,"For by one Spirit are we all baptized into one body, whether we be Jews or Gentiles, whether we be bond or free; and have been all made to drink into one Spirit. 
1Co 12:13 KJV.",True,True,False,No comments.,1,False,3,False,False,13
22,Trump as persuaded by alleged ZioNazi Youth Graduate Jared Kushner and Zionist ultra-racist Stephen Miller is continuing to push out the mountain of 'Yuge' lies in a vanishing return of hope of them being accepted as Truth. https://t.co/3PLdlevTG2,True,True,False,No comments.,5,False,1,False,False,10
23,"Orthodox Jews seen open carrying firearms in New York after spate of anti-Semitic attacks

It’s sad that it’s illegal to carry a gun In New York

Now these Jews will be considered criminals for trying to protect themselves

https://t.co/6Yx1XfXwP7",True,True,False,No comments.,1,False,3,True,False,13
24,"@RachelRileyRR @MaajidNawaz @QuilliamOrg The Far Left’s hypocrisy sucks. They have the gall to lie about Jews “weaponising” antisemitism, while they weaponise Racism to defend the vile actions of people who happen to belong to certain groups. Hypocrisy and projection.",True,True,False,No comments.,1,False,3,False,False,13
25,"@afagerbakke Muslims only demand &amp; lies, they do not know what generosity is. Jews always give and stretch out a hand. After six days war they gave the keys to Muslims, but no reciprocity. Muslims invade Europe, uninvited and only demand. Only contribution here and Israel, is violence &amp; death",True,True,False,"anti-Muslim, anti refugee",1,False,3,False,False,13
26,"@tagesschau @herzschlagjaeg1 Jaja Ausgerechnet dieses scheinheilige Zionazi Mörder Regime aus #Israel
Apropos #Coronavirus
Noch nie hat die Welt so kleine Trojanische Pferde gesehen, weil
🇩🇪😎🇻🇪 #FreeAssangeNOW Bradley Mannings ist schon frei
https://t.co/TuxhmyvbKJ
#kenfm @nuoviso @SpiegelAnti  @rtdeutsch",True,False,False,3.1.2 and 3.1.10,5,False,1,False,False,2
27,"On International Holocaust Remembrance Day, we mourn the lives of 6 million Jews who were systematically murdered.

Today and every day, we must redouble our efforts to confront anti-Semitism and all forms of religious discrimination and say #NeverAgain.",True,True,False,No comments.,1,False,3,True,True,13
28,"4 Teaser &amp; Trailers Hits 500K+ Kikes💥💥💥💥💥

@Suriya_offl 
#அன்புள்ளசூர்யா #SooraraiPottru @Suriya_offl",True,True,False,probably misspelling of likes,2,False,3,False,False,13
29,Zionazie.,False,True,False,No comments.,3,False,3,False,False,13
30,↪ FYI #TIL The American dream of  kikes feasibly might have been due to aliens ! FAKE . 🐑 🐱 🎯 🍁 👗 ⚽ 💛 🎯 💖 👺 🌰 🚑,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
31,MSNBC’s Ayman Mohyeldin Joins the ‘Exploit the Coronavirus to Demonize the Jews’ Party https://t.co/V2awK75x0a via @pamelageller,True,True,False,No comments.,1,False,3,True,False,13
32,"Jews were the major cotton traders &amp; had nearly monopolized that industry, so they needed to re-establish plantation slavery to assure that that Jewish revenue stream would be secure long into the future. With cotton being nearly 90% of the American economy....",True,True,False,"3.1.2 Making mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews as such or the power of Jews as collective — such as, especially but not exclusively, the myth about a world",5,False,3,False,False,2
33,Fun fact for Holocaust Remembrance Day: this was the same tactic used to keep European Jews out of the United States in the 1930s.,True,True,False,No comments.,1,False,3,False,True,13
34,🐄   #MAGA The worst thing about kikes in general is an example of cuckolds ? FAKE ! 🗾 ⛵ 🍆 👃 ⬅ #⃣ 🐹 🍅 🔼 🚑 🆒 🐝,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
35,@swilkinsonbc Zionazi #IsraeliCrimes https://t.co/q7Wl43vPhD,True,True,False,No comments.,5,False,1,False,False,10
36,🐅 I guarantee that #TIL The saddest thing about kikes conceivably is indicative of aliens xD Sad ! 🚂 👆 👚 🚀 🚀 💈 ❄ 🐇 🏫 🈳 🚃 💫,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
37,‘The Mexicans are the new Jews’ — Music legend Linda Ronstadt isn’t afraid of comparing Trump to Hitler https://t.co/QSDjd1qf4n,True,True,False,4.1.4 But this kind of diminishing of the Holocaust seems to be not explicit enough for the IHRA definition,2,True,3,False,False,13
38,"According to jews they left Palestine 2000 years ago as brown people, 2000 years latter the returned as white people.. https://t.co/OEXOYMl0tG",True,True,False,"The user uses this statement by NK to promote 3.1.7. + They make Jews white (=racist oppressors) which is not at all what NK says in video. ""probably"" because it might not be explicit enough for IHRA",4,False,1,False,False,7
39,"@the_moviebob SAME White petit bourgeois start openly saying stuff like ""beating to death Niggers and Kikes make my dick hard""

The Real True Left™: ""These are clearly lazy trust fund kids who used mom &amp; dad money to fly first class to that posh, foppish, neo-nazi demonstration""",True,True,False,No comments.,1,False,3,True,False,13
40,Can one of you fucking kikes get me a me fulltilt sponsorship? I've heard the criteria is being a dumb whore in world of dribbling nerds,True,True,False,1.0 and 3.1.2,5,False,1,False,False,2
41,"Quarter of the French Jews Have Been Assaulted by Anti-Semites, Half Feel Threatened Daily  Survey Finds https://t.co/NUodM60H6p #Islam #MAGA #UniteBlue",True,True,False,No comments.,1,False,3,True,False,13
42,@Coburgist @marymar49743095 Noone told the kikes to Crucify the God-Man. They did they all on their own because they adore Satan and abhor Him.,True,True,False,1.0 and 3.1.2,5,False,1,False,False,2
43,🗿 EXPLAIN THIS: #Syria The media's biased view of kikes unfortunately will be due to aliens rawr xd Won't hear this on mainstream media! :( 🚔 🙎 👟,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
44,"Thinking about how, throughout history, Jews faced enormous  pressure to become Christians/Muslims, and now face the same pressure to become anti-Zionists. Moral of the story? There is yet to be a point in history where a Jew is not maligned for holding beliefs held by most Jews",True,True,False,No comments.,1,False,3,True,False,13
45,"Crusaders invaded the Middle East, burned Jews alive, killed, raped, pillaged. This really is no different than brandishing a swastika",True,True,False,No comments.,1,False,3,True,False,13
46,"Notorious anti-Semite terror supporter Linda Sarsour’s BFF, Bürgermeister Warren Wilhelm, has a message for NYC’s Jews: https://t.co/i91lcWTivF",True,True,False,No comments.,1,False,3,True,False,13
47,@OscarJu97128129 @_SJPeace_ Parallels to those brave people who helped Jews escape Nazi Germany. This man is a hero,True,True,False,No comments.,1,False,3,False,True,13
48,"Today we remember Raoul Wallenberg, who saved the life of 100,000 Jews in Hungary in the midst of the Holocaust. He was detained on January 17, 1945 and was never seen again. In 1985, he was made the first Honourary Citizen of Canada. #WeRemember 

https://t.co/WQPhnzc1TS",True,True,False,No comments.,1,False,3,False,True,13
49,"On #HolocaustMemorialDay and the 75th anniversary of Auschwitz's liberation, we honor the millions of Jews and other victims whose lives were extinguished by the Nazi regime. Today and every day, we must give hate no safe harbor to ensure such atrocities never again occur.",True,True,False,No comments.,1,False,3,False,True,13
50,"'zionists', 'zios', 'zionazis', '(((them))), and now 'gnasher scum' and its variations. All used as substitute words for Jews and our allies https://t.co/28af7bGWin",True,True,False,No comments.,1,False,3,True,False,13
51,"I do not look down on niggers, kikes, wops or greasers.
Here you are all equally worthless!
「黒豚、ユダ豚、イタ豚を、俺は見下さん　すべて平等に価値がない！」",True,True,False,bot,5,False,2,False,False,0
52,"On Holocaust Remembrance Day, we remember the six million Jews and other victims of Nazism.

We honor their memories by speaking out against anti-Semitism, injustice, and hatred in all forms. Never Again.",True,True,False,No comments.,1,False,3,True,False,13
53,⬅ I bet #TIL The American dream of  kikes unfortunately is the unfortunate result of the alt-right ? #FAKENEWS :) 🌌 🚡 🚐 🇮🇹 👙 8⃣ 💎 ⛵ 4⃣ ↕ 🐗 👭,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
54,"@RoJustDGAF Blacks v Jews? 

Who do you think'll win? @RoJustDGAF 

*Niggers v Kikes?",True,True,False,No comments.,5,False,2,False,False,0
55,@washingtonpost Gasp kikes lose.,True,True,False,No comments.,5,False,2,False,False,0
56,Just last month everyone cared about racism when Jews weren't safe in this country anymore. Now there's no such thing as racism in the UK because it's black people...,True,True,False,implicit: Jews are a priviliged victim group,2,False,3,False,False,13
57,"Public school curriculum in the US:

Black people slaves
Brave women get vote
Jews holocausted
Mustache man bad
Black people get racism
Here is a disabled person
Black people poor
Gay people good
How to do drugs
AIDS, not just for gay people
Remember, jews holocausted",False,True,False,No comments.,3,False,3,False,False,13
58,🚙 Did you know? #lol The only thing preventing kikes (I heard this from a friend) could have been due to the patriachy rawr xd Fad ! 🔰 👄 💚 🍐 🙊 🌈,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
59,@Shiraanani @kimblecheat @KarimNK96 Racist Zionazi Scum,True,True,False,No comments.,5,False,1,False,False,10
60,"CHRISTIANS: this verse in the old testament says X
JEWS: It doesn't say that
CHRISTIAN: maybe. Who knows?
JEWS: we do. That's not in the Hebrew
CHRISTIAN: no one knows what the original language means
JEWS: Yes we do. We can read it.
CHRISTIAN: It's lost forever",True,True,False,No comments.,1,False,4,False,False,13
61,@anapatilla1 Kikes es buenísimo!,True,False,False,No comments.,3,False,3,False,False,13
62,"#Apartheid zionazist...
Ethnic cleansing, land seizure, home demolition, military occupation, bombing of Gaza..
Israel is copying South Africa very well

#SobatPalestinaINA 
#IsraeliCrimes
https://t.co/vYnnnQIG8U",True,True,False,3.1.7 and 3.1.10,5,False,1,False,False,10
63,"Kids in cages, deportations, Muslim ban, rising xenophobia,intolerance towards Jews &amp; Muslims, assassinating foreign leader,open prejudice towards Iranians, bogus Impeachment trial, asst Israeli annexation,expanded Muslim ban. 

The US is literally asking to be invaded by the US.",True,True,False,No comments.,1,False,3,False,False,13
64,Huevos Kikes donará un millón de huevos en Cauca y Santander https://t.co/ku32X06m10 https://t.co/mwBQqK40oL,True,False,False,No comments.,3,False,3,False,False,13
65,"As someone who grew up with lots of “you killed Jesus” people, people genuinely do believe that shit and will attack Jews for it to this day",True,True,False,No comments.,1,False,3,True,False,13
66,"75 years after the Nazis wiped out a third of Belgian Jews, SS officers are marching down the streets of Belgium again. https://t.co/6w87fikIxt",True,True,False,No comments.,1,False,3,True,True,13
67,"@GoodmanGames Claiming that Jews fake antisemitic attacks, that we're secretly pulling the strings of presidents committing genocide against white America, all that crap--

That's not ""drama.""

That's violence.",True,True,False,No comments.,1,False,3,True,False,13
68,@Heba_Khaled21 même Hitler semble plus humains que les zionazis israéliens https://t.co/11C8IftdRH,True,True,False,No comments.,5,False,1,False,False,10
69,"@LearsiReverof The threat to the Jews isn't nazis or jihadis but zionists like you who despise us and call us 'Batshit crazy.'  If you hate me so much, how much more so 6 million?  We are more useful to you as a statistic.  That's how the holocaust happened.  Now you know.",True,True,False,3.1.4 accuses Zionists of being responsible for the Holocaust. This user has also other antisemitic posts,5,False,2,False,False,4
70,"1 April 1933 | Nazis carried out the first nationwide, planned action against Jews of Germany: a boycott of businesses &amp; professionals. It was a reprisal &amp; revenge against ""atrocity stories"" that Jews were allegedly circulating in the international press. https://t.co/9P5GEPUV0Q https://t.co/uRIEaUbiy7",True,True,False,No comments.,1,False,3,False,True,13
71,"@happyfase1 You know the kikes have got your whole society by the balls when the only part of its political culture left uncontaminated by their toxic and malignant influence is tiny, marginalised fringe ""dissident"" group.",True,True,False,1.0 and 3.1.2,5,False,1,False,False,2
72,"The man broke into a synagogue in the central Ukrainian city of Vinnytsia and was shouting “Beat up the kikes (Jews)."" #antisemitism

https://t.co/d2dg4qWUZS",True,True,False,No comments.,1,False,3,True,False,13
73,Fun fact for Holocaust Remembrance Day: this was the same tactic used to keep European Jews out of the United States in the 1930s.,True,True,False,3.1.4 But this kind of diminishing of the Holocaust seems to be not explicit enough for the IHRA definition,1,True,3,False,False,13
74,thinking abt this girl who literally called jesse eisenberg and andy samberg kikes like just bc u censor it doesnt make it any less antisemitic https://t.co/ODm9LsVZ0O,True,True,False,No comments.,1,False,3,True,False,13
75,Wahahahha THAT is how Zionazis see themselves? 😂,True,True,False,No comments.,5,False,1,False,False,10
76,"@SchafDas @Challen81690499 @tagesschau Wenn das 1ner von den Linken sagt &amp; ausgerechnet die Zionazi BLÖD das bestätigt, muss es ja stimmen was die Eurasien spaltenden NATO Krieg NAZIS sagen 
Coronavirus reloaded
Wir liegen auch vor Madagaskar &amp; haben die NATO Pest an Bord🇩🇪😎🇻🇪#FreeAssangeNOW 
 https://t.co/p3Ckuh7ZQS",True,True,False,No comments.,5,False,1,False,False,10
77,@RahulEaswar It's holy day I should not says what was fate of Jews,True,True,False,No comments.,2,False,3,False,False,13
78,"Fear of the crosses, fear of Jawi, fear of the transgenders, fear of the tudung, fear of the serban, fear of the Jews, fear of pluralism, fear of babi.

Nothing can be achieved when the society remains chained by irrational fears. We need to break these chains &amp; free ourselves.",True,True,False,No comments.,1,False,3,True,False,13
79,🙎 I bet #TIL The one thing stopping kikes (I heard this from a friend) provides conclusive evidence of thicc ladies in parliament xD Mad . 🐣 👈 👪 🏈,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
80,"these kikes controlling our heads with music and symbols 

THIS REPRESENTS INCEL PIG 

YA SEE

YA SEE...
YA SEE..",True,True,False,1.0 and 3.1.2,5,False,1,False,False,2
81,"@HarmlessYardDog The kikes want more and more invaders ramping up crime. Then they'll have an excuse to enact a communist, police state after confiscating all guns from the law abiding.",True,True,False,1.0 and 3.1.2,5,False,1,False,False,2
82,"@AndyWalker1963 @KeloidKrown @clarkegeorgina1 @mrjamesob Why did the Nazis make Jews wear the yellows stars as the contemplated their genocide? The genocide was unspokeable but the average German could ""other"" them.  Racists are different from their targets and average people can easily other them...",True,True,False,No comments.,1,False,3,False,True,13
83,@news_ntd @BoudiceaSabeaen ZioNazi Fear Campaign ti get dissidents and protesters off the streets.,True,True,False,Zionazi as a slur and codeword for Jews? NTD News is a U.S. broadcaster close to Falun Gong,5,False,1,False,False,10
84,Brigitte Gabriel defends Jews in one of the best speeches the UN has ever heard - @IsraelVideos https://t.co/DiHEAbYbGQ,True,True,False,No comments.,1,False,3,True,False,13
85,"@AndySlo30293431 @Jeffcam1263 @FitzInfo Ukrainian poet T.G.Shevchenko (1814-1861) - ""Filthy kikes rule us. And we are worst than kikes. We sold the grandfather's glory, and let kikes yoke us... 
-""Жиди погані правлять Нами!
А ми ще гірші ніж жиди...Ми
продали Дідівську славу, й
жиди в ярмо Нас запрягли!..""
Т.Г.Шевченко",True,True,False,user has posted many other antisemitic tweets,5,False,1,False,False,2
86,"Spanish Blue Division soldiers witnessed deportations of Jews in Russia, writes Boris Kovalev. In memoirs, however, Russian civilians primarily recall confrontations w/ the Spanish soldiers, who stole warm clothes &amp; ate the village cats. #SpainSWWHolocaust https://t.co/2rNWMSYWgp",True,True,False,No comments.,1,False,3,False,True,13
87,"This Holocaust Remembrance Day, as we remember the millions of Jews who lost their lives at the hands of the Nazi regime, we recommit to ensuring such atrocities never again occur. With anti-Semitism on the rise, all of us must root out intolerance and give hate no safe harbor.",True,True,False,No comments.,1,False,3,True,True,13
88,"@DTsarouhtsis @AcarUmut @DavidHarrisAJC That genocide denier says Ataturk saved so many Jews, which is true. I’m a proud genocide denier too by the way. 😂😂😂😂😂😂😂😂😂",True,True,False,the users denies the Armenian genocide,1,False,3,False,True,13
89,🌖 I guarantee that #lol The one thing stopping kikes today will be the recent hike in petrol prices xD Angery :( 🚥 🐫 👛 💄 🚨 🚑 🙇 🎦 0⃣ 🐘 🙍 👆,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
90,💫 Trust me on this: #randum The best thing about kikes in general will be due to the sale of nacotics ! #alternativefacts :) 🐜 👌 🐚 🎯 🌜 💗 🌋 🈲,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
91,"It is eighty years since Japanese diplomat Chigune Sugihara saved 6,000 Jews in Lithuania. His is one of the many stories of resistance I pay tribute to in I AM JUDEN. Here Chigune's son reflects on his father's extraordinary accomplishments: https://t.co/ZIEVvZsHgd",True,True,False,No comments.,1,False,3,False,True,13
92,"Today is #YomHaShoah, the date in the Jewish calendar for Jews around the world to mourn the loss of the six million Jewish people murdered during the Holocaust. Here is the full schedule of online content that will be streaming tonight and tomorrow from @yomhashoahuk",True,True,False,No comments.,1,False,3,False,True,13
93,"Orthodox Jews seen open carrying firearms in New York after spate of anti-Semitic attacks

It’s sad that it’s illegal to carry a gun In New York

Now these Jews will be considered criminals for trying to protect themselves

https://t.co/6Yx1XfXwP7",True,True,False,No comments.,1,False,3,True,False,13
94,🌙 I bet #MAGA The limit of kikes today was how many times the tax payer can be betrayed rawr Sad ! 🐩 💖 🚻 🐬 🏬 🎲 ✋ 〰 🙇 🚃 🚊 📍,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
95,Blatant Anti-Semitism on full display. Spanish parade mocks the holocaust and the 6 million Jews that died. With socialism on the rise beware. We will see more of this. #StandWithIsrael https://t.co/pdcnLy2sSx,True,True,False,No comments.,1,False,3,True,False,13
96,".@donaldjtrumpjr spreads antisemitic conspiracy theories that inspire the murder of Jews. He gave an interview to the news site that called impeachment a “Jew Coup.” His father’s presidency has seen a rise in antisemitic hate crimes.

#JewsAgainstWhiteNationalism are speaking out https://t.co/wHOBteo8Dx",True,True,False,No comments.,1,False,3,True,False,13
97,"i love how jews, persians, kurds and assyrians arent considered as middle eastern as other Arabs because we refused to submit to arabization... can’t make this up luv",False,True,False,No comments.,3,False,3,False,False,13
98,🌚   #Syria The best thing about kikes (citation needed) is a result of vaccinations ! Sad :) 🐵 9⃣ 🐅 🆓 🌲 🌸 👉 🈁 🚗 🆓 👔 🐷,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
99,like the amount of times i’ve seen jewish ppl on my tl called kikes and jesus-killers in the last 24 hours is. startling,True,True,False,No comments.,1,False,3,True,False,13
100,The kikes want to buy every aspect of government.,True,True,False,1.0 and 3.1.2,5,False,1,False,False,2
101,Swalwell is a liar. Trump hs been very supportive of Jews particularly Israel and has condemned anti-semitism and specific attacks. And the machete attack and deli shooting were done by blacks not white supremacists.,True,True,False,No comments.,1,False,3,True,False,13
102,"Fuck kikes!!!

Retweet if you agree.",True,True,False,1.0 and 3.1.2 (accusation: Jews responisble for immigration),5,False,1,False,False,0
103,〽 #unpopularopinion #randum The issue of kikes controversially provides conclusive evidence of Assad's barrel bombs rawr xd Won't hear this on mainstream media!,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
104,Isn’t it crazy how Jews don’t understand their own Law lol https://t.co/b3NCCGt3kZ,True,True,False,3.1.2 sticking to the letters but not the spirit of religious texts. Other posts by this user show that the user is pro-Christian and anti-homosexuality,4,False,2,False,False,2
105,"⬅ Without a doubt, #Syria The crisis currently plaguing kikes sadly is evidence of Mint Slices ? #alternativefacts . 🙈 ☀ 🌋 🐯 🍍 🐅 🚄 ⛅ 🐁 💗 🐃 🐵",True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
106,"@TimesofIsrael - ""@IsraelShamir criticized @realDonaldTrump for pandering to the Jews

#Trump thought his generosity to Israel would melt Jewish hearts. But no, Jews accept every gift as their due.”

https://t.co/ldCDrhNDp0

#TrumpImpeachment
#Ukraine",True,True,False,"gross misrepresentation of cited article. The Times of Israel explicitly says that Israel Shamir is an antisemitic author. This is omitted in the tweet. 3.1.2: disloyal, arrogant",5,False,3,False,False,2
107,"@EdmundOris 2011/12 villas boas wanted a youthful revolution at chelsea and unfortunately the kikes of drogba,anelka,malouda were casualties,he preferred a combination of Torres and sturiddge in most of the games 13 of drogbas appearances that season were from the bench .",True,True,False,don't know. did not find antisemitic tweets from this user but a sport jurnalist with the name Kike,2,False,3,False,False,13
108,@shaunattwood French Revolution 1: Jewish Bankers Jacobin Freemasons &amp; Jews = youtube,True,True,False,No comments.,5,False,1,False,False,2
109,"#TorneodelaMarte 
Cuartos de final-Categoría Libre Huevos Kikes-Gana Móvil 1-2 UCC-Construmarca

UCC es el primer semifinalista del torneo de la Cancha Marte en la categoría libre. @serpra72 @FabianReporta @lisanfutbolbga https://t.co/DeBV3M6Tz4",True,False,False,No comments.,3,False,3,False,False,13
110,@Bob12958595 @IDF The zionazi IDF are 😉,True,True,False,No comments.,5,False,1,False,False,10
111,"If Arnab Goswami was there in 1940,

He would blame Jews for provoking Hitler to make concentration camps https://t.co/TTo1qJAqXX",True,True,False,No comments.,1,False,3,False,True,13
112,"@deutsch365 Na wenn das die Zionazi Spalt BLÖD sagt muß es ja stimmen, das alle so sind
Apropos DU mußt unbedingt wählen gehen, um das Größere Übel zu vermeiden
Sag Besccheid, wenn man zwischen Finanzdiktatur &amp; Demokratie wählen kann &amp; nicht gleich kleingehauen wird😎 https://t.co/kzdmt9dOHQ",True,False,False,No comments.,5,False,1,False,False,10
113,🌠   #Syria The crisis currently plaguing kikes in parliament provides conclusive evidence of cuckolds xD #altfacts :( 💢 🔴 🗼 🌑 🐁 ✋ 🐡 💘 🐶 ✨ ⚡ 🌵,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
114,💆   #lol The American dream of  kikes unsurprisingly is indicative of the lack of positive policies issued by today's government  ! Bad ? 🏮 🙇 👀 👠,True,True,False,"bot and gibberish but the most likely interpretation that makes sense here is that ""kike"" is used as a slur",4,False,2,False,False,0
115,"By the ""German people"" does Kawczynski include the many socialists, communists, Jews, Christians, members of the clergy, the mentally ill, members of the LGBT community and others imprisoned and murdered by the Nazi regime and is he aware Hitler was an Austrian not a German?",True,True,False,No comments.,1,False,3,False,True,13
116,@bariweiss Zionazis who essentially have the worlds largest open air concentration camps.,True,True,False,No comments.,5,False,1,False,True,10
117,"CHRISTIANS: this verse in the old testament says X
JEWS: It doesn't say that
CHRISTIAN: maybe. Who knows?
JEWS: we do. That's not in the Hebrew
CHRISTIAN: no one knows what the original language means
JEWS: Yes we do. We can read it.
CHRISTIAN: It's lost forever",True,True,True,No comments.,1,False,4,False,False,13
